user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
a0bbab933989d62a76ec3c078376c142f166a352a9801f139d3d1e21c321018d,1.51403148528405,0.0150693188667872,2.5,2.5,,,,,0161,2_active_periods,,,2,1-1-0-0-0-0,01,"Agriculture, livestock, fishing"
a0bd64ba530690bad7d98e013236946b58e9e262793c459d473541347f0fe73a,3.29363449691992,0.0242449431975617,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0bddab2bb8e6ea27581293a8bbc4aa4ff81134b4970b1402c00328d80a0c5be,4.83778234086242,0.976230899830221,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0bf53549771906bf31c6f83a0fc8467104e8eba784b0d4decd9513a9fdf97a6,2.20944558521561,3.31474597273854,1.9,1.9,,,,,8411,2_active_periods,,,2,1-1-0-0-0-0,84,Public administration
a0c93af3165e7c080cd7a33cf0584bf1a4c7b38bf83c7c32f629d94aff4d2c5a,2.26146475017112,0.0252219531880549,6.5,6.5,,,,,8559,2_active_periods,48002.0,Bilbao,2,1-1-0-0-0-0,85,Education
a0d15cac8f136569c40cc0473e48ada0a283226e5f45425077c49df8a6a9551c,3.50444900752909,0.0227864583333333,3.3,3.3,,,,,9820,2_active_periods,20010.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a0d2142d716fbf0aa90d67790793c8f8863b22e90d41347c8981425342f7373d,2.35181382614648,0.0145518044237485,1.1,1.1,,,,,5210,2_active_periods,,,2,1-1-0-0-0-0,52,Warehousing and logistics
a0d302601fc5199cea01aae671674cc0c61b93ad2d4fb1e7053fe3741a24b947,1.82865617157198,0.0187149095446039,5.75,5.75,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0d342a4077c93c2ce3d7db246ed49e808bf0d661c2733760a12acd555d8ee0b,4.47912388774812,0.022921760391198,3.3,3.3,,,,,9820,2_active_periods,48006.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0d3e42c59fcbea922ffe1bd60ab98e4e055b3a693aa7bc26279415f0bf77c97,1.79329226557153,0.0127226463104326,3.8,3.8,,,,,9820,2_active_periods,28026.0,Madrid,2,1-1-0-0-0-0,98,Household production
a0d4364d4a6daeabb27a4a6a494e626c9b0e1fa9f5e3214a17850dd92c2f8659,1.45379876796715,0.0235404896421846,3.3,3.3,,,,,9820,2_active_periods,48010.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0dba0c5ff8cb64808c5c6cdb3dc35ca1fcacd275647f3644974594e7d4359cb,5.01300479123888,0.345894775168396,3.45,3.45,,,,,9820,2_active_periods,1007.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0e06d06b9f74f1711b014f30146fb82b59f3bd073284a3a66e7d36b77c22f05,5.01300479123888,0.129710540688149,3.45,3.45,,,,,9820,2_active_periods,48014.0,Bilbao,2,1-1-0-0-0-0,98,Household production
a0e13111a177b802bf2108b9bff2e17e38d3e9dd7a1cfaca383fd6065cde6b55,5.01300479123888,0.348170398689241,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0e17630a3acac1af256ed6438648bbecd3b8da15840989165560573c32cae09,2.32443531827515,0.0245386729485669,11.5,15.001,15.001,15.001,15.001,15.001,5610,6_active_periods,,,6,1-1-1-1-1-1,56,Food and beverage services
a0e1e117eefa50134a07808163a2eddef195888064713430ffb2fca04bad0d3b,3.84941820670773,0.0207444286391655,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0e69d5ae948ec0a96c6dc75537ac48c92a70fecb1c5f5acb109d61a1ba5b676,4.61327857631759,0.0222551928783383,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0ed0333b7dedd2104ba0bb33e14fe771ac846a4df5172a1b8ababe8aa74d4ee,2.05886379192334,0.0166223404255319,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0f27362d57257370c85f41cf79b976af38d0bcf1b1369ae3b2b12a7ad7f8a6a,3.66050650239562,0.024931438544004,3.45,3.45,,,,,9820,2_active_periods,1006.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a0f49c51b8b5c90f7da3447647bce6041ba467bdeb71154d84f9ca1847f142ff,4.85694729637235,0.0211386696730552,1.1,1.1,,,,,8411,2_active_periods,,,2,1-1-0-0-0-0,84,Public administration
a0f5964a88fa8831ae40147101c36009dc2699cbd871d3a10a206e9a69fab266,2.31074606433949,0.0246840442338073,3.5,3.5,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0f74b50513135286b8d146c6d1fbd2d278ed9fbb9e513d82ca3f92113259a69,3.24709103353867,0.0983698707138842,2.0,2.0,,,,,8411,2_active_periods,,,2,1-1-0-0-0-0,84,Public administration
a0f8aa16c2711b1c4a366f59a2d6e432142a38e19518dddd45e408041dcf88eb,5.01300479123888,0.348170398689241,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a0fb7f0cd7751b9bbca27aee9b4dc9668181423a65748e29e7eea6662b034122,4.83504449007529,0.809267648169121,3.3,3.3,,,,,5210,2_active_periods,,,2,1-1-0-0-0-0,52,Warehousing and logistics
