sector,date,avg_kwh,std_kwh,n_users
Household production,2021-08-05,0.19326160934133577,0.2856306562007886,14440
Household production,2021-08-06,0.19524039740593258,0.290376004484746,14440
Household production,2021-08-07,0.19573530990304708,0.2861201995889089,14440
Household production,2021-08-08,0.18870923938134807,0.2614611628241951,14440
Household production,2021-08-09,0.18826068213296396,0.28833536350939665,14440
Household production,2021-08-10,0.1914697166435826,0.2913749732124851,14440
Household production,2021-08-11,0.19140598886195748,0.289723224685016,14440
Household production,2021-08-12,0.19418904278239454,0.29596854057736144,14440
Household production,2021-08-13,0.1915684174457525,0.3073130821015353,14440
Household production,2021-08-14,0.19672749884579868,0.2963820243257405,14440
Household production,2021-08-15,0.20095658471837485,0.28473448501797366,14440
Household production,2021-08-16,0.19646784972299167,0.2925916044507499,14440
Household production,2021-08-17,0.1939338498384118,0.29304780696656124,14440
Household production,2021-08-18,0.19321147853185594,0.29613062489176506,14440
Household production,2021-08-19,0.1924615939519852,0.2902128252093652,14440
Household production,2021-08-20,0.1861389842307248,0.2835194252793604,14440
Household production,2021-08-21,0.19105193328716524,0.28283517167736355,14440
Household production,2021-08-22,0.19695918455678665,0.2739902217182906,14440
Household production,2021-08-23,0.19870251904432132,0.2972601554298569,14440
Household production,2021-08-24,0.1962975415512465,0.29220876190332246,14440
Household production,2021-08-25,0.19617499999999996,0.2904963010639575,14440
Household production,2021-08-26,0.19472111707448442,0.29000019962331536,14440
Household production,2021-08-27,0.19408457121421974,0.29783080387511807,14440
Household production,2021-08-28,0.19542377943213293,0.28415469079483985,14440
Household production,2021-08-29,0.20220066655124652,0.27081480577557254,14440
Household production,2021-08-30,0.206788247345337,0.29143769967226707,14440
Household production,2021-08-31,0.2106225415512465,0.2909830703225705,14440
Household production,2021-09-01,0.21631919436749766,0.291331936753137,14440
Household production,2021-09-02,0.217097278008618,0.29630695156984976,14440
Household production,2021-09-03,0.2083609389427516,0.2956257481700484,14440
Household production,2021-09-04,0.20524382213758077,0.2855344541109948,14440
Household production,2021-09-05,0.2122069886888273,0.2773844069216865,14440
Household production,2021-09-06,0.21848868017082174,0.31092951270236696,14440
Household production,2021-09-07,0.22706553266389656,0.3210804206405382,14440
